CERT,ASSET_slope,EQV_slope,RBC1AAJ_slope,NCLNLSR_slope,NPERFV_slope,EEFFR_slope,ROA_slope,LNLSDEPR_slope,EQV_d2y,ROA_d2y,asset_yoy,asset_accel,runway_q,cur_asset,n_quarters,cre_g36,capital_building,credit_turning,growth_accelerating,runway_to_10b,margin_eroding,cre_growth_36m
958,108542.168,-0.251,-0.017,-0.06,-0.038,2.16,-0.132,1.103,1.719,0.426,0.021,0.0,262.67,2533545.0,20,-0.375,False,False,False,False,False,False
961,,,,,,,,,,,,,,371624.0,4,,False,False,False,False,False,False
963,6735.02,-0.141,-0.037,0.034,0.045,3.382,-0.125,3.236,1.727,0.593,0.012,-0.006,1137.743,294809.0,20,0.243,False,False,False,False,True,False
966,2070.126,-0.818,-0.851,0.0,0.0,-0.818,-0.043,3.194,2.31,0.564,-0.0,0.019,,57733.0,20,2.914,False,False,False,False,False,True
968,-3927.134,0.161,0.405,0.196,0.056,-2.562,0.107,0.695,1.794,0.816,0.006,0.002,2396.363,283704.0,20,-0.517,False,True,False,False,False,False
969,-410.265,0.786,0.634,0.004,0.005,-1.346,0.086,3.987,0.849,0.645,0.06,0.037,281.63,169608.0,20,-0.649,True,False,False,False,False,False
976,-876.391,-0.071,0.5,-0.066,-0.027,-2.884,0.15,0.967,1.675,0.15,0.031,-0.003,587.075,118951.0,20,-0.511,False,False,False,False,False,False
977,35348.102,0.464,0.422,0.109,0.093,-1.483,0.09,6.057,2.796,0.665,0.077,0.038,148.164,638709.0,20,0.573,True,False,False,False,False,True
982,3281.961,1.419,0.488,-0.017,-0.002,-5.126,0.069,1.222,9.878,0.219,0.108,0.2,111.799,567842.0,20,0.66,True,False,True,False,False,True
999,198.376,0.431,0.448,-0.234,-0.118,1.753,-0.032,0.475,2.291,-0.681,-0.014,0.106,,107878.0,20,-0.284,True,False,False,False,False,False
1005,36861.925,-0.075,-0.037,0.01,0.009,1.877,-0.051,1.837,0.751,0.308,0.073,0.05,86.153,2203614.0,20,0.175,False,False,False,False,False,False
1008,6911.344,0.458,0.637,0.522,0.423,-3.789,0.361,1.705,1.422,0.657,0.208,0.073,87.749,159724.0,20,0.614,True,True,True,False,False,True
1014,487547.041,0.454,0.364,0.137,0.113,1.485,-0.137,7.568,3.075,0.391,0.021,-0.591,158.333,4391138.0,20,2.045,True,False,False,False,False,True
1022,-4151.032,0.078,0.343,-0.302,-0.105,4.447,-0.138,4.173,2.586,0.933,0.063,0.06,221.012,342755.0,20,0.732,False,False,False,False,True,True
1027,105425.029,-0.474,-0.281,0.222,0.195,-0.684,0.045,2.038,-0.117,0.218,1.293,0.897,9.82,1303870.0,20,4.214,False,True,True,False,False,True
1028,12835.792,-0.718,-0.248,-0.186,-0.07,0.961,-0.036,1.759,1.337,0.21,-0.01,-0.015,,250512.0,20,0.43,False,False,False,False,False,False
1040,-81045.738,-0.327,0.241,0.269,0.147,1.369,-0.793,-1.853,-1.296,-0.091,-0.101,-0.039,,6539611.0,20,-0.081,False,True,False,False,False,False
1047,53955.173,0.252,0.296,-0.109,-0.061,-1.262,0.059,1.431,1.871,0.296,0.07,-0.155,161.728,644563.0,20,0.551,False,False,False,False,False,True
1049,7824.791,-0.231,0.075,-0.139,-0.05,-5.464,0.294,1.181,1.037,0.146,0.03,-0.059,480.625,279419.0,20,0.016,False,False,False,False,False,False
1058,157230.159,0.192,0.23,0.109,0.082,-1.816,0.046,-0.886,1.621,0.148,0.058,0.005,84.881,3034068.0,20,0.428,False,False,False,False,False,False
1060,50618.932,0.216,0.193,0.002,0.005,-0.335,-0.014,0.321,2.144,0.848,0.019,-0.01,443.975,1217421.0,20,-0.068,False,False,False,False,False,False
1068,-6974.265,0.759,0.709,0.094,0.071,-1.355,0.177,4.445,1.321,0.5,-0.01,-0.009,,1328042.0,20,0.217,True,False,False,False,False,False
